id,name,count
0,Gan Cao Pian,32393
1,Fu Ling,31164
2,Bei Chai Hu,22308
3,Chen Pi,22286
4,Fu Chao Bai Zhu,21778
5,Dang Gui,21096
6,Chuan Qiong,18820
7,Zhi Gan Cao,18697
8,Sheng Bai Shuo,18391
9,Dang Can,17075
10,Huang Qin,16808
11,Huang Qi,15612
12,Jiang Ban Xia (Zhe),14139
13,Fu Chao Zhi Ke,13283
14,Gui Zhi,12374
15,Niu Xi,11969
16,Jie Geng,11819
17,Fang Feng,11239
18,Fa Ban Xia,11237
19,Hou Po,9856
20,Ze Xie,9313
21,Chi Shuo,9108
22,Mai Dong,8868
23,Chao Ji Nei Jin,8392
24,Dan Can,8255
25,Huang Bo,8205
26,Yan Du Zhong,7893
27,Chan Shui,7874
28,Shan Yao,7848
29,Yi Yi Ren,7677
30,Shou Di Huang,7628
31,Sha Ren,7535
32,Sheng Di Huang,7424
33,Zhe Bei Mu,7355
34,Fu Chao Cang Zhu,7146
35,Jing Jie,6944
36,Mi Fu Jiang Tian,6867
37,He Huan Pi,6844
38,Ge Gen,6745
39,Zheng Nan Wu Wei Zi,6612
40,Du Huo,6444
41,Fo Shou,6410
42,Cu Xiang Fu,6404
43,Yan Huo Xiang,6386
44,Cu Yan Hu Suo,6178
45,Xi Xin,6156
46,Bai Zhi,6060
47,Bei Sha Can,6031
48,Ku Xing Ren,5968
49,Qiang Huo,5898
50,Huang Lian,5833
51,Sheng Bai Zhu,5767
52,Xuan Can,5630
53,Mu Dan Pi,5617
54,Da Zao,5585
55,Zhi Yuan Zhi Rou,5578
56,Shou Wu Teng,5550
57,Tao Ren,5513
58,Sheng Jiang,5454
59,Ren Can (Sheng Shai Can),5357
60,Bai Bu,5145
61,Jiu Yu Rou,5132
62,Fu Bai Shuo,5051
63,Hong Hua,5009
64,Tai Zi Can,4926
65,Shi Chang Pu,4916
66,Chao Suan Zao Ren,4888
67,Zhi Mu,4487
68,Mu Xiang,4470
69,Rou Gui,4338
70,Bo He,4270
71,Qin Qiu,4261
72,Xu Duan,4125
73,Jin Yin Hua,4100
74,Yu Jin,4084
75,Gou Qi Zi,3980
76,Tian Hua Fen,3979
77,Lian Qiao,3961
78,Hu Ji Sheng,3913
79,Gan Jiang,3895
80,Chao Man Jing Zi,3887
81,Mu Li,3876
82,Ku Can,3859
83,Jiang Huang,3845
84,Sheng Mai Ya,3730
85,Quan He,3630
86,Fu Chao Zhi Shi,3556
87,Zi Su Xie,3485
88,Mi Zi Wan,3484
89,Da Huang,3453
90,Zhi Huang Qi,3357
91,She Gan,3332
92,Qian Hu,3285
93,Chao Mai Ya,3269
94,Pu Gong Ying,3260
95,Sheng Shan Zha,3253
96,Ji Xie Teng,3247
97,Shi Gao,3242
98,Sheng Ma,3218
99,Zhu Ru,3217
100,Zhi Zi,3174
101,E Zhu,3144
102,Ma Huang,3088
103,Jiao Liu Shen Qu,3066
104,Mu Gua,3047
105,Dan Zhu Xie,3043
106,San Qi Pian,3041
107,Tu Si Zi,3022
108,Fang Ji,2979
109,Lu Gen,2978
110,Long Dan,2962
111,Tian Ma,2961
112,Duan Mu Li,2958
