id,name,count
0,112342|Ke Sou,4346
1,118853|Shui Mian Zhang Ai,3211
2,103061|Ji Xing Shang Hu Xi Dao Gan Ran,3037
3,104088|Man Xing Wei Yan,2473
4,104600|Yue Jing Bu Gui Ze,2404
5,115021|Pi Lao Zong He Zheng,2338
6,123152|Yao Zhui Jian Pan Tu Chu,1796
7,123381|Yao Tong,1653
8,123141|Wei Chang Gong Neng Wen Luan,1225
9,217444|E Xing Zhong Liu,1217
10,140320|Yin Dao Yan,1199
11,219098|Fei E Xing Zhong Liu,1157
12,140710|Shi Mian,1099
13,102571|Zhi Qi Guan Yan,1067
14,122119|Hun He Xing Jing Zhui Bing,1018
15,103464|Ji Xing Zhi Qi Guan Yan,983
16,103486|Man Xing Yan Yan,845
17,104430|Xi Guan Jie Tong,825
18,102570|Shang Hu Xi Dao Ji Bing,819
19,103510|Man Xing Bi Dou Yan,789
20,152585|Tou Yun,782
21,147028|Fu Tong,733
22,104099|Wei Yan,712
23,104910|Bian Mi,681
24,153639|Fa Li,641
25,103478|Bian Ying Xing Bi Yan,624
26,103578|Shi Zhen,617
27,211501|Gao Xie Ya,614
28,106837|Tou Tong,574
29,105089|Nu Xing Pen Qiang Yan,488
30,111178|Guan Jie Yan,478
31,111043|Man Xing Qian Lie Xian Yan,471
32,104425|Jian Guan Jie Tong,459
33,122113|Shen Jing Gen Xing Jing Zhui Bing,446
34,104087|Man Xing Wei Suo Xing Wei Yan,435
35,102675|Cuo Chuang,434
36,115928|Wei Chang Yan,429
37,217036|Gan E Xing Zhong Liu,427
38,146598|Xiao Hua Bu Liang,424
39,117393|Chou Dong Zhang Ai,411
40,103038|Ji Xing Yan Yan,383
41,106895|Dao Han,375
42,144822|Pi Lao,373
43,219124|Jia Zhuang Xian E Xing Zhong Liu,368
44,104629|Wei Jue Jing Qi Zong He Zheng,361
45,103111|Te Ying Xing Pi Yan,356
46,104923|Chang Gong Neng Wen Luan,349
47,123177|Jing Zhui Bu Wen Ding,344
48,152583|Xuan Yun,341
49,104613|Tong Jing,338
50,217299|Wei E Xing Zhong Liu,328
51,123384|Yao Ji Lao Sun,321
52,107684|Er Ming,321
53,106894|Duo Han Zheng,319
54,111227|Jin Mo Yan,318
55,103479|Man Xing Bi Yan,314
56,218963|Jie Chang E Xing Zhong Liu,309
57,107022|Sun Shang,307
58,111402|Fei Bu Gan Ran,307
59,141498|Tang Niao Bing,298
60,106835|Fa Re,289
61,147515|Ren Ru Tou Liu Bing Du Gan Ran,289
62,109568|Ruan Zu Zhi Ji Huan,288
63,103032|Ji Xing Bi Dou Yan,261
64,113538|Gan Ran Xing Fa Re,260
65,104606|Yi Chang Zi Gong Chu Xie,258
66,106921|Kou Gan,250
67,111229|Jian Zhou Yan,244
68,111027|Mi Niao Dao Gan Ran,242
69,217893|Man Xing Zu Sai Xing Fei Bing,237
70,"216691|Ru Xian E Xing Zhong Liu,Wai Ce",222
71,146596|Xiong Men,219
72,217178|Zhi Chang E Xing Zhong Liu,219
73,112411|Kou Chou,219
74,107331|Jian Xiu Sun Shang,218
75,103576|Pi Yan,216
76,102472|Man Xing Hou Yan Yan,213
77,112325|Xin Ji,211
78,217993|Jing Shen Fen Lie Zheng,209
79,142162|Hun He Zhi,209
80,145792|Chang Gong Neng Wen Luan,207
81,102228|Gao Xie Ya Bing,199
82,144781|Gu Li Xing Fei Jie Jie,198
83,114341|Man Xing Huo Dong Xing Yi Xing Bing Du Xing Gan Yan,197
84,110291|Man Xing Ya Zhou Yan,193
85,218320|Ru Xian E Xing Zhong Liu Shi,191
86,111833|Tou Yun He Xuan Yun,188
87,103642|Xun Ma Zhen,187
88,147035|Fu Zhang,184
89,112367|Xiong Tong,183
90,111566|Shen Jing Yan,182
91,106889|Shui Zhong,178
92,105101|Ji Xing Wai Yin Yan,177
93,122129|Zhui Guan Xia Zhai,177
94,118492|Jia Zhuang Xian Jie Jie,173
95,105738|Kou Qiang Gan Ran,173
96,110898|Tong Feng Xing Guan Jie Yan,173
97,218481|Bi Yan E Xing Zhong Liu,172
98,118791|Xuan Yun Zong He Zheng,169
99,138355|Zhui Dong Mai Xing Jing Zhui Bing,169
100,105087|Nu Xing Pen Qiang Yan Xing Ji Bing,169
101,124212|Jian Qiao Yan,168
102,109595|Gu Zhi Shu Song,168
103,103452|Fei Yan,167
104,111460|Zu Sheng Chi,167
105,104424|Guan Jie Tong,164
106,111280|Gong Gu Wai Shang Ke Yan,164
107,104105|Xiao Hua Bu Liang,162
108,104431|Huai Guan Jie Tong,155
109,127004|Xi Guan Jie Bing,154
110,104846|Ren Dai Ji Huan,151
111,179082|Gao Zhi Xie Zheng,150
112,102455|Xian Yang Ti Fei Da,149
113,142991|Nian Zhu Jun Xing Yin Dao Yan,141
114,109931|Ru Xian Xian Bing,139
115,119833|Dai Zhuang Pao Zhen Bu Ban You Bing Fa Zheng,137
116,212251|Man Xing Shen Gong Neng Bu Quan,136
117,110003|Nao Geng Si Hou Yi Zheng,134
118,107788|Le Gu Gu Zhe,133
119,111959|Que Ren Ren Shen,131
120,114905|Gao Zhi Xie Zheng,130
121,145978|Nao Gu Yuan Duan Gu Zhe,128
122,219354|Gao Xie Ya,127
123,116274|Zhen Jun Xing Yin Dao Yan,124
124,152570|Niao Pin,124
125,103046|Ji Xing Bian Tao Ti Yan,121
126,102859|Hua Nang Yan,121
127,103073|Liu Xing Xing Gan Mou,119
128,218408|Gong Jing E Xing Zhong Liu,118
129,138757|Shen Gong Neng Bu Quan,114
130,111040|Qian Lie Xian Zeng Sheng,111
131,104427|Wan Guan Jie Tong,109
132,120796|Fei Pang Zheng,108
133,103047|Ji Xing Hua Nong Xing Bian Tao Ti Yan,108
134,105100|Man Xing Yin Dao Yan,108
135,140321|Xi Jun Xing Yin Dao Yan,100
136,105057|Gong Jing Yan Xing Ji Bing,100
137,102138|Shu Niao Guan Jie Shi,98
138,102630|Tuo Fa,98
139,122101|Zeng Sheng Xing Ji Zhu Yan,97
140,105736|Kou Qiang Nian Mo Kui Yang,96
141,112335|Bi Chu Xie,95
142,142485|Pi Zhen,94
143,117202|Jiao Lu Zhuang Tai,93
144,138508|Zao Qi Ren Gong Liu Chan,91
145,219360|Yuan Fa Xing Gao Xie Ya,91
146,104926|Gang Lie,90
147,108143|Gu Zhe Zhi Liao Hou De Sui Zhen Jian Cha,88
148,218138|Shen E Xing Zhong Liu,87
149,104624|Nu Xing Geng Nian Qi Zong He Zheng,86
150,207180|E Xing Zhong Liu,85
151,"216690|Ru Xian E Xing Zhong Liu,Nei Ce",84
152,117639|Zhi Gu Gu Zhe,83
153,199019|Shen Jie Shi,82
154,122135|Jing Yao Zong He Zheng,82
155,114513|Zi Gong Ping Hua Ji Liu,81
156,107320|Dan Bai Niao,80
157,103446|Zhi Qi Guan Fei Yan,80
158,138530|Gao Niao Suan Xie Zheng,79
159,105547|Luan Chao Nang Zhong,79
160,104591|Yue Jing Xi Shao,78
161,110908|Tong Feng,77
162,123718|Chang Yan,77
163,104429|Kuan Guan Jie Tong,76
164,122162|Ji Zhui Bing,76
165,106936|Xie Tang Guo Duo,76
166,109548|Zu Tong,74
167,140779|Fei E Xing Zhong Liu,74
168,140452|Yue Jing Guo Duo,74
169,114602|Pian Tou Tong,73
170,123173|Jing Jian Zong He Zheng,73
171,103196|Qiu Zhen Xing Xun Ma Zhen,72
172,141942|Yao Zhui Jian Pan Tuo Chu Ban Zuo Gu Shen Jing Tong,71
173,112361|Yan Tong,71
174,115639|Duo Nang Luan Chao Zong He Zheng,70
175,212063|2Xing Tang Niao Bing,68
176,147848|Jia Zhuang Xian Gong Neng Kang Jin Zheng,66
177,103197|Gang Men Sao Yang (Zheng),66
178,105114|Zi Gong Xian Ji Bing,65
179,144609|Ji Xing Bi Yan,65
180,118864|Bei Er Mian Tan,65
181,218095|Qian Lie Xian E Xing Zhong Liu,65
182,140312|Man Xing Shen Bing,63
183,103455|Fei Yan Zhi Yuan Ti Ji Xing Zhi Qi Guan Yan,63
184,218287|Ru Xian Zhong Liu,63
185,138064|Gen Tong Zheng,63
186,103640|Man Xing Xun Ma Zhen,62
187,148141|Huai Guan Jie Gu Zhe,62
188,105736|Kou Qiang Nian Mo Kui Yang,61
189,123159|Yao Zhui Jian Pan Bian Xing,61
190,107782|Xiong Zhui Gu Zhe,60
191,146205|Dan Nang Jie Shi,60
192,102576|Man Xing Zhi Qi Guan Yan,60
193,105104|Man Xing Wai Yin Yan,60
194,123719|Fu Xie,60
195,112578|Yao Zhui Gu Zhe,58
196,110621|Nao Geng Si,58
197,119401|You Men Luo Xuan Gan Jun Gan Ran,58
198,117629|Gen Gu Gu Zhe,58
199,117164|Pin Xie,57
200,110388|Xi Guan Jie Bing,57
201,122172|Jing Zhui Jian Pan Tu Chu,56
202,104820|Ban Yue Ban Bian Xing,56
203,103207|Han Pao Zhen,55
204,154025|Zhuan An Mei Sheng Gao,55
205,218497|Lin Ba Liu,55
206,218148|Bang Guang E Xing Zhong Liu,54
207,144976|Fei Liang Xing Zhong Liu,54
208,104821|Ban Yue Ban Sun Shang,54
209,115889|Jiao Xian,54
210,102485|Sheng Dai Yan,53
211,219321|Jia Zhuang Xian Zhong Liu,52
212,138973|Mian Shen Jing Yan,52
213,218333|E Xing Lin Ba Liu Ge Ren Shi,52
214,148647|Gan Gong Neng Bu Quan,51
215,106841|Teng Tong,51
216,123376|Jing Tong,51
217,106036|Wai Huai Gu Zhe,50
218,143172|Zhi Qi Guan Xiao Chuan,50
219,138081|Dan Ce Xi Guan Jie Gu Xing Guan Jie Bing,50
220,219109|Hou E Xing Zhong Liu,49
221,116528|Huai Guan Jie Niu Shang,49
222,118029|Fei Jie Jie Bing,49
223,217581|Xi Tong Xing Hong Ban Lang Chuang,48
224,102282|Ke Sou Bian Yi Xing Xiao Chuan,48
225,103140|Guo Min Xing Pi Yan,48
226,109949|Ru Fang Jie Jie,47
227,110995|Ji Xing Niao Dao Yan,47
228,104041|Bu Wan Quan Xing Yao Wu Liu Chan,47
229,102380|Huang He Ban,46
230,112379|Wei Tong,46
231,104426|Zhou Guan Jie Tong,46
232,147030|Ou Tu,46
233,103042|Yan Xia Yan,46
234,217891|Man Xing Zu Sai Xing Fei Bing Ban You Ji Xing Jia Zhong,46
235,123378|Yao Tong Ban You Zuo Gu Shen Jing Tong,46
236,143262|Xi Guan Jie Fu Ren Dai Sun Shang,45
237,142397|Hu Xi Dao Gan Ran,45
238,103059|Ji Xing Yan Hou Yan,45
239,123720|Xiao Er Chang Yan,45
240,218218|Tang Niao Bing,44
241,146662|Jing Gu Ping Tai Gu Zhe,44
242,139473|Fen Mi Xing Zhong Er Yan,44
243,105371|Jie Chang Xi Rou,44
244,144779|Fei Bu Yin Ying,44
245,115641|Luan Chao Zao Shuai,44
246,107762|Xiong Bi Cuo Shang,43
247,216044|Zhi Fang Gan,43
248,113991|Qu Ti Hua Zhang Ai,43
249,140755|Ru Xian Zeng Sheng,43
250,103199|Wai Yin Sao Yang (Zheng),42
251,111941|Qu Chu Zi Gong Nei Jie Yu Qi,42
252,216769|Luan Chao E Xing Zhong Liu,42
253,111809|Yi Niao,41
254,104626|Lao Nian Xing Yin Dao Yan,41
255,140568|Jia Zhuang Xian Zhong,41
256,146993|Wan Guan Jie San Jiao Xian Wei Ruan Gu Sun Shang,41
257,217541|Sai Xian E Xing Zhong Liu,41
258,119322|Man Xing Jin Zhang Xing Tou Tong,41
259,217124|Shi Guan E Xing Zhong Liu,40
260,107384|Nao Gu Xia Duan Gu Zhe,40
261,120486|Zhou Wei Shen Jing Bing,40
262,123412|Ji Jin Mo Yan,40
263,118781|Liang Xing Zhen Fa Xing Xuan Yun,39
264,105583|Zi Gong Nei Mo Xi Rou,39
265,106011|Bin Gu Gu Zhe,39
266,118827|Xing Zao Shou,39
267,215980|Man Xing Qing Du Yi Xing Bing Du Xing Gan Yan,39
268,153963|Bin Gu Guan Jie Bing,38
269,143282|Xi Guan Jie Sun Shang,38
270,104676|She Yan,37
271,218410|Zi Gong E Xing Zhong Liu,37
272,120412|Wan Guan Zong He Zheng,37
273,102484|Sheng Dai Jie Jie,37
274,111064|Guan Zhuang Dong Mai Zhou Yang Ying Hua Xing Xin Zang Bing,37
275,140309|Man Xing Shen Yan,36
276,102471|Man Xing Hou Yan,36
277,218672|Zai Sheng Zhang Ai Xing Pin Xie,36
278,211700|Tang Niao Bing,35
279,105513|Yao Zhui Xiao Guan Jie Wen Luan,35
280,122134|Yao Zhui Zhui Guan Xia Zhai,35
281,112465|Ren Gong Liu Chan Hou Sui Zhen Jian Cha,35
282,138744|Man Xing Shen Zang Bing 4Qi,35
283,119852|Xun Chang You,35
284,110290|Ji Xing Guan Zhou Yan,35
285,111582|Suo Gu Gu Zhe,35
286,219188|Pa Jin Sen Bing,34
287,109596|Gu Zhi Shu Song,34
288,119723|Ru Xian Liang Xing Zhong Liu,34
289,218316|Fei E Xing Zhong Liu Ge Ren Shi,33
290,105739|Kou Qiang Yan,33
291,109617|Xin Fang Zhan Dong,33
292,111261|Gen Jian Yan,33
293,216017|Gan Ying Hua,33
294,150770|Gu Zhe Zhu Hou,33
