id,name,count
0,Wu Ya Tong,14359
1,Shen Zhi Qing Xing,11383
2,Ke Sou,9595
3,Jing Shen Zhuang Tai Liang Hao,9038
4,Fa Li,8472
5,Fu Bu Ping Ruan,8146
6,Tou Tong,6601
7,Shi Mian,4128
8,Jing Shen Qing Xi,3942
9,Kou Gan,3575
10,Fu Tong,3457
11,Huo Dong Shou Xian,3387
12,Xin Ji,3178
13,Bi Sai,2943
14,Liu Ti,2894
15,She Hong,2691
16,Wu Fa Re,2666
17,Bian Mi,2624
18,Fa Re,2396
19,Shi Yu Bu Zhen,2362
20,Xin Fei Zheng Chang,2226
21,Xin Lu Gui Ze,2164
22,Ke Tan,1955
23,Yin Dao Tong Chang,1893
24,Xia Zhi Wu Shui Zhong,1856
25,Shen Jing Xi Tong Zheng Chang,1844
26,Shi Yu Jian Tui,1606
27,Ru Shui Kun Nan,1597
28,E Xin,1591
29,Fu Bu Zheng Chang,1568
30,Wu Yi Chang,1532
31,Tou Yun,1493
32,She Tai Bai,1461
33,Da Bian Zheng Chang,1458
34,Qing Xing,1447
35,Fu Bu Rou Ruan,1437
36,Fu Xie,1421
37,Niao Pin,1414
38,Wu Shui Zhong,1361
39,Wu Fan Tiao Tong,1352
40,She Zhi Dan,1291
41,She Zhi Dan Hong,1287
42,Wei Jian Yi Chang,1282
43,Wu Za Yin,1266
44,She Tai Bo Bai,1258
45,Xin Zang Zheng Chang,1255
46,She Dan Hong,1229
47,Fu Zhang,1210
48,Gao Xie Ya,1186
49,Jing Shen Zhuang Tai Zheng Chang,1157
50,Mai Xiang Xi Ruo,1118
51,Xin Lu Zheng Chang,1099
52,Wei Yin Chu Bing Li Xian Xiang,1094
53,Wu Fa Li,1086
54,Hu Xi Yin Qing Xi,1083
55,Fu Bu Ruan,1072
56,Er Ming,1069
57,Yan Bu Hong Zhong,1051
58,Duo Meng,1036
59,Ya Tong,1035
60,Wai Yin Zheng Chang,1028
61,Yan Tong,1006
62,Mai Xi,994
63,Fu Bu Teng Tong,993
64,Ping Ruan,957
65,Sheng Li Fan Ying Cun Zai,957
66,Fan Zao,952
67,Xin Fei Jian Cha Zheng Chang,929
68,Teng Tong,902
69,Shi Yu Zheng Chang,892
70,Da Bian Gan Jie,882
71,Kou Ku,881
72,Wu Fu Tong,859
73,Mai Xiang Xian,855
74,Hou Tong,851
75,Wu Fu Xie,826
76,Tai Bai,808
77,Chi Xu,798
78,Xuan Yun,794
79,Yan Bu Chong Xie,761
80,Ou Tu,753
81,Zuo Xi Guan Jie Teng Tong,745
82,Da Bian Gan Zao,741
83,Chi Xu Yi Ge Yue,740
84,Jing Shen Zhuang Tai,732
85,Shen Jing Xi Tong Jian Cha Wei Jian Yi Chang,725
86,She Tai Bai Ni,725
87,Yao Bu Teng Tong,722
88,Tai Bo Bai,720
89,Wu Ke Sou,713
