id,name,count
0,Qi Zhi Xie Yu Zheng,4125
1,Gan Yu Zheng,3644
2,Han Shi Zheng,3550
3,Shi Re Xia Zhu Zheng,3307
4,Xin Pi Liang Xu Zheng,2549
5,Pi Wei Qi Xu Zheng,2236
6,Feng Re Fan Fei Zheng,2182
7,Feng Re Gan Mou Zheng,2135
8,Gan Shen Yu Xu Zheng,1974
9,Feng Han Shi Bi Zu Zheng,1860
10,Pi Wei Bu He Zheng,1651
11,Shi Kun Pi Wei Zheng,1627
12,Gan Yang Shang Kang Zheng,1427
13,Gan Yu Qi Zhi Zheng,1390
14,Xin Dan Qi Xu Zheng,1312
15,Qi Ji Zu Zhi Zheng,1282
16,Shi Re Nei Yun Zheng,1202
17,Tan Huo Rao Shen Zheng,1189
18,Pi Xu Shi Kun Zheng,1188
19,Pi Xu Shi Yun Zheng,1162
20,Gan Qi Fan Wei Zheng,1144
21,Pi Wei Xu Zheng,1128
22,Qi Xie Yu Xu Zheng,1110
23,Tan Shi Yun Fei Zheng,1084
24,Feng Han Xi Fei Zheng,1024
25,Qi Xu Zheng,925
26,Xin Pi Shi Re Zheng,913
27,Shen Xu Zheng,806
28,Shi Re Zhong Zu Zheng,787
29,Pi Qi Bu Zu Zheng,731
30,Feng Re Qin Yan Zheng,712
31,Xin Shen Bu Jiao Zheng,702
32,Shi Re Yun Jie Zheng,686
33,Pi Xu Shi Zu Zheng,651
34,Feng Zao Shang Fei Zheng,649
35,Fei Re Xun Bi Zheng,625
36,Pi Shen Liang Xu Zheng,622
37,Fei Yin Hao Shang Zheng,566
38,Yin Shi Ji Zhi Zheng,549
39,Gan Shen Yin Xu Zheng,549
40,Tan Re Yong Fei Zheng,542
41,Fei Jing Feng Re Zheng,509
42,Gan Yu Pi Xu Zheng,493
43,Fei Pi Qi Xu Zheng,465
44,Feng Han Gan Mou Zheng,457
45,Feng Xie Zheng,451
46,Qi Xu Xie Yu Zheng,451
47,Pi Qi Xu Zheng,434
48,Shen Jing Yu Xu Zheng,413
49,Tan Yu Hu Jie Zheng,390
50,Fei Qi Xu Zheng,370
51,Pi Shen Qi Xu Zheng,361
52,Tan Yu Zheng,355
53,Shi Re Yong Zhi Zheng,353
54,Yu Xie Zu Zhi Zheng,341
55,Qi Xie Bi Zu Zheng,338
56,Shang Shi Zheng,335
57,Feng Xie Wai Xi Zheng,329
58,Pi Wei Han Shi Zheng,325
59,Fei Wei Re Sheng Zheng,322
60,Feng Shi Bi Zu Zheng,319
61,Ru Shi Shang Wei Zheng,316
62,Gan Yu Tan Ning Zheng,313
63,Shi Re Zheng,310
64,Tan Shi Zhong Zu Zheng,306
65,Pi Xu Zheng,306
66,Chang Wei Shi Re Zheng,305
67,Yin Xu Huo Wang Zheng,284
68,Zheng Xu Xie Lian Zheng,280
69,Pi Shen Yu Xu Zheng,273
70,Gan Xie Xu Zheng,264
71,Pi Wei Shi Re Zheng,264
72,Feng Re Zheng,263
73,Xin Xie Yu Zu Zheng,262
74,Gan Huo Zheng,260
75,Fei Qi Xu Han Zheng,246
76,Zao Xie Fan Fei Zheng,235
77,Shen Yin Xu Zheng,233
78,Yu Xie Zu Luo Zheng,230
79,Han Ning Xie Yu Zheng,228
80,Qi Zhi Tan Zu Zheng,219
81,Qi Xie Liang Xu Zheng,211
82,Chang Dao Shi Re Zheng,200
83,Pi Shen Yang Shuai Zheng,200
84,Tan Shi Ning Jie Zheng,195
85,Xie Xu Zheng,191
86,Xie Yu Zheng,185
87,Gan Yu Hua Huo Zheng,169
88,Tan Re Zheng,168
89,Qi Yin Liang Xu Zheng,161
90,Shi Re Yun Chang Zheng,157
91,Wai Shang Yu Zhi Zheng,156
92,Pi Shen Yang Xu Zheng,147
93,Gan Wei Qi Zhi Zheng,146
94,Feng Re Fan Biao Zheng,144
95,Qi Zhi Zheng,144
96,Qi Xu Luo Yu Zheng,139
97,Tan Shi Zu Luo Zheng,137
98,Tan Shi Zheng,137
99,Gan Shen Bu Zu Zheng,135
100,Qi Xu Bi Qiao Shi Chong Zheng,135
101,Yin Xu Xie Re Zheng,133
102,Chong Ren Shi Diao Zheng,124
103,Shi Re Zu Luo Zheng,124
104,Gan Qi Yu Jie Zheng,123
105,Gan Jing Yu Re Zheng,122
106,Wei Fen Zheng,122
107,Shi Zu Chang Dao Zheng,118
108,Gan Huo Shang Yan Zheng,116
109,Tan Qi Hu Jie Zheng,115
110,Gan Yu Shi Re Zheng,111
111,Shen Yang Xu Zheng,108
112,Xin Xu Dan Qie Zheng,103
113,Xu Han Zheng,101
114,Feng Re Hua Zao Zheng,100
115,Shen Yin Yang Liang Xu Zheng,100
116,Yang Xu Bi Qiao Shi Xu Zheng,97
117,Han Ning Qi Zhi Zheng,92
118,Fei Jing Zheng,91
119,Bang Guang Shi Re Zheng,89
120,Shi Re Zheng Bi Zheng,89
121,Da Chang Re Jie Zheng,82
122,Shi Re Yun Zheng Zheng,82
123,Gan Pi Shi Re Zheng,79
124,Shen Yang Bu Zu Zheng,77
125,Feng Shi Zheng,77
126,Ying Wei Bu He Zheng,75
