id,name,count
0,Qing Re,10876
1,Jian Pi,9425
2,Shu Gan,6820
3,Li Qi,6701
4,Hua Shi,6303
5,Bu Yi,6066
6,Zhi Tong,5796
7,Hua Tan,5012
8,San Han,4783
9,He Wei,4741
10,Li Shi,4539
11,Huo Xie,4170
12,Zhi Ke,3605
13,Shu Feng,3498
14,Jie Biao,3060
15,Yang Xie,2635
16,Xuan Fei,2432
17,Hua Yu,2329
18,Zi Bu,2169
19,Xin Liang,2143
20,Tong Luo,2123
21,Gan Shen,2031
22,Qing Fei,1996
23,Yi Qi,1857
24,Xin Pi,1794
25,Xing Zhi,1771
26,Zi Yin,1746
27,Run Zao,1706
28,Qu Feng,1587
29,An Shen,1570
30,Ping Gan,1541
31,Pi Shen,1439
32,Qu Shi,1397
33,Jie Du,1378
34,Qi Xie,1343
35,Qian Yang,1325
36,San Jie,1252
37,Chu Shi,1153
38,Zhi Yang,1113
39,Bu Shen,1081
40,Pi Qi,1078
41,Bu Qi,901
42,Bu Pi,837
43,Xiao Zhong,806
44,Qing Gan,704
45,Xie Huo,704
46,Xin Shen,668
47,Jiao Tong,653
48,Wen Bu,651
49,Fa,628
50,Xie Re,611
51,Diao Jing,578
52,Li Pi,574
53,Xiao Shi,571
54,Shu Jin,569
55,Zao Shi,523
56,Fu Zheng,494
57,Qu Xie,494
58,Yi Fei,475
59,Xin Wen,434
60,He Zhong,422
61,Zeng Ye,409
62,Yi Jing,384
63,Run Fei,347
64,Qing Xie,341
65,Shen Yang,340
66,Qu Han,329
67,Wen Zhong,309
68,Jie Yu,296
69,Xie Jie,292
70,Fei Wei,290
71,Hua Zhuo,279
72,Bu Xie,276
73,Qing Xin,274
74,Wen Jing,261
75,Yang Xin,249
76,Yang Ying,249
77,Kai Qiao,248
78,Qing Pi,245
79,Qing Wei,241
80,Wen Fei,234
81,Xing Qi,180
82,Gu Biao,178
83,Jiang Huo,175
84,Qu Tan,172
85,Gong Xia,170
86,Run Chang,155
87,Bu Fei,143
88,Pi Wei,141
89,Huo Tan,141
90,Shen Yin,137
91,She Xie,136
92,Sheng Yang,131
93,Qu Yu,127
94,Xu Bi,119
95,Bu Yang,115
96,Zhi Dai,112
97,Tong Jing,107
98,Wen Yang,106
99,Zhi Xie,106
100,Diao Bu,103
101,Wen Hua,102
102,Han Shi,102
103,Diao Li,95
104,Chong Ren,95
105,Tong Bi,94
106,Xie Huo,94
107,Liang Xie,92
108,Diao He,83
109,Ying Wei,83
110,Na Qi,82
111,Shen Shi,77
112,Qi Yin,73
113,Xing Xie,72
114,Tong Lin,71
115,Fang Xiang,68
116,Shen Qi,65
117,Xi Feng,63
118,Tong Bian,62
119,Qu Shu,61
120,Gu Jing,60
121,Gu She,59
122,Ping Chuan,58
123,Li Shui,55
124,Gan Dan,51
125,Xiao Ji,49
126,Ruan Jian,48
127,Xie Gan,47
128,Dao Zhi,46
129,Han Wen,43
130,Bing Yong,43
131,Run Yan,42
132,Po Xie,41
133,Fu Yuan,39
134,Jiang Ni,39
135,He Ying,38
136,Fei Qi,34
137,Rou Gan,33
138,Sheng Jin,32
139,Xiao Ying,30
140,Pi Yang,28
141,Chu Man,27
142,Kai Yin,26
143,He Jie,23
144,Shao Yang,23
145,Hua Qi,23
146,Yang Yin,22
147,Sheng Xie,21
148,Gu Chong,20
149,Nuan Gong,19
150,Zhong Qi,18
151,Sheng Ti,17
152,Tong Bi,17
153,Sheng Xin,16
154,An Tai,16
155,Wen Wei,14
156,Wen Xia,12
157,Shi Han,12
158,Ding Zhi,12
159,Li Yan,12
